"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "Markdown", "Ignore", "Svelte", "YAML", "CSS", "HTML", "Prisma", "comment", "blank", "total"
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\stores\report-maker.store.ts", "TypeScript", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28, 226
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\stores\ui.store.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 68
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\client.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\routers\apiKey.router.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\routers\app.router.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\routers\database.router.ts", "TypeScript", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 131
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\routers\report.router.ts", "TypeScript", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 129
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\routers\theme.router.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\trpc.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\trpcErrorhandler.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 106
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\svelte.config.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\tailwind.config.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 43
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\tsconfig.json", "JSON with Comments", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\vite.config.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"Total", "-", 13, 81, 1618, 77, 19, 11, 2238, 4082, 6, 11, 195, 46, 1129, 9526
